country,years,role,level,mode,value
Spain,4.0,Designer,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
New Zealand,14.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",
Russia,,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
USA,0.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
USA,4.0,Engineer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",7
Brazil,9.0,Engineer,Data visualization is the focus of my job,Business Intelligence Tools (like Tableau),7
Mexico,2.0,Engineer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Canada,5.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",3
Hungary,3.0,Designer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Hand-crafted in a graphics editor (Illustrator)",5
Sweden,4.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",4
USA,4.0,None of these describe my role,Data visualization is the focus of my job,"Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
Russia,1.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
USA,11.0,"Leadership (Manager, Director, VP, etc)","Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",6
Finland,4.0,Developer,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
USA,2.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
USA,5.0,Scientist,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
USA,10.0,Developer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
United Kingdom,3.0,Analyst,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",3
Not specified,15.0,Developer,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
USA,5.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,4.0,Analyst,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",4
Turkey,4.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus",Business Intelligence Tools (like Tableau),6
France,4.0,Scientist,Data visualization is the focus of my job,"Business Intelligence Tools (like Tableau), Interactive Notebooks, Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",3
United Kingdom,2.0,None of these describe my role,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",5
Canada,7.0,Scientist,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Mexico,6.0,Scientist,"Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",2
Denmark,1.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",4
USA,2.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",5
Germany,2.0,Analyst,Data visualization is the focus of my job,"General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",6
Mexico,5.0,Scientist,"Data visualization is an important secondary part of my job, but not the focus","Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator)",2
USA,5.0,Developer,"Data visualization is an important secondary part of my job, but not the focus","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code)",1
Canada,4.0,"Leadership (Manager, Director, VP, etc)","Data visualization is one of several other things I do in my job, but not a primary or secondary part of my role","Business Intelligence Tools (like Tableau), Interactive Notebooks, General purpose charting libraries (plotly, highcharts), Completely custom (matplotlib, ggplot2, Processing, D3, custom code), Hand-crafted in a graphics editor (Illustrator), Hand-crafted with pen & paper or other physical means",5
